productId,shopNameId,userLatitude,userLongitude,shopLatitude,shopLongitude,day,time
5,24,29.0518,-101.0729,30.4145,-97.7053,3,4
5,24,29.0518,-101.1022,30.4145,-97.7053,4,1
4,24,29.0518,-100.1285,30.4145,-97.7053,6,9
2,24,29.0518,-95.3051,30.4145,-97.7053,3,19
1,24,29.0518,-94.0735,30.4145,-97.7053,4,17
3,24,29.0518,-94.5598,30.4145,-97.7053,7,7
2,24,29.1405,-101.0729,30.4145,-97.7053,7,1
1,24,29.1405,-101.1022,30.4145,-97.7053,3,14
3,24,29.1405,-100.1285,30.4145,-97.7053,7,7
4,24,29.1405,-95.3051,30.4145,-97.7053,6,5
1,24,29.1405,-94.0735,30.4145,-97.7053,2,2
3,24,29.1405,-94.5598,30.4145,-97.7053,4,18
4,24,25.8303,-101.0729,30.4145,-97.7053,7,17
5,24,25.8303,-101.1022,30.4145,-97.7053,1,5
2,24,25.8303,-100.1285,30.4145,-97.7053,6,5
2,24,25.8303,-95.3051,30.4145,-97.7053,7,6
5,24,25.8303,-94.0735,30.4145,-97.7053,3,6
4,24,25.8303,-94.5598,30.4145,-97.7053,2,5
4,24,31.4151,-101.0729,30.4145,-97.7053,3,7
1,24,31.4151,-101.1022,30.4145,-97.7053,3,9
2,24,31.4151,-100.1285,30.4145,-97.7053,4,8
5,24,31.4151,-95.3051,30.4145,-97.7053,3,9
2,24,31.4151,-94.0735,30.4145,-97.7053,2,11
3,24,31.4151,-94.5598,30.4145,-97.7053,7,21
1,24,33.1993,-101.0729,30.4145,-97.7053,4,19
5,24,33.1993,-101.1022,30.4145,-97.7053,1,13
2,24,33.1993,-100.1285,30.4145,-97.7053,4,5
2,24,33.1993,-95.3051,30.4145,-97.7053,6,23
5,24,33.1993,-94.0735,30.4145,-97.7053,6,8
5,24,33.1993,-94.5598,30.4145,-97.7053,3,2
3,24,33.8302,-101.0729,30.4145,-97.7053,5,15
2,24,33.8302,-101.1022,30.4145,-97.7053,6,23
1,24,33.8302,-100.1285,30.4145,-97.7053,5,22
3,24,33.8302,-95.3051,30.4145,-97.7053,1,6
